row_id,epic,test_case,surface_path
67,topology,"grafana status/overview reports Healthy/Running in both regions — no ""cannot resolve write host"" crashloop in the app health panel.",products/catalyst/bootstrap/api/internal/handler/applications.go + catalyst-api image pin on hw292
68,topology,"powerdns-admin status reports Healthy/Running — the CNPG-minted DB host resolved (no ""could not translate host"").",live:pod/powerdns-admin-bp-powerdns-admin + platform/powerdns-admin
69,topology,"keycloak status reports Healthy/Running in both regions — JGroups DB-host resolves, no UnknownHostException in the health panel.",products/catalyst/bootstrap/api/internal/handler/applications.go + catalyst-api image pin on hw292
70,topology,guacamole status reports Healthy/Running in both regions — no missing-recordings-PVC error surfaced.,live:pods guacamole-server/guacd/guacamole-pg both regions
71,topology,"Region-kill baseline (before): `shared-pg` Topology tab shows live Continuum Ready, lease held by region-a, region-b standby present, a live replication-lag number.",products/catalyst/bootstrap/ui/src/pages/sovereign/AppDetail/TopologyTab.tsx replication-lag panel + catalyst-api image pin
72,funnel,"Operator console BSS → Vouchers page renders the voucher issuance form (code, credit OMR, plan tier, description); no login wall.",products/catalyst/bootstrap/ui/src/pages/sovereign/bss/VouchersPage.tsx
73,funnel,"In the voucher form, type a weak code `1234` → Issue → the form rejects it inline (""voucher code must be at least 12 characters"").",products/catalyst/bootstrap/ui/src/pages/sovereign/bss/voucherCodePolicy.ts
74,funnel,"Leave the code field empty → Issue → a new voucher row appears with a server-auto-generated high-entropy code, credit, plan tier, `unredeemed 0/1`.",products/catalyst/bootstrap/ui/src/pages/sovereign/bss/VouchersPage.tsx
75,funnel,"Stranger opens the redeem page with `?code=<CODE>` → sees ""Voucher valid · 5000 OMR"" with THIS Sovereign's brand chrome (no openova.io / mothership logo).",console.hw292.omani.works BSS voucher mint then core/marketplace/src/pages/redeem.astro
76,funnel,"Open the redeem page with a junk code → a generic ""voucher not valid"" message (no tombstone / no detail leak).",core/marketplace/src/pages/redeem.astro
77,funnel,Redeem page source (DevTools): the HTML shows THIS Sovereign's brand and no `console.openova.io` / `omantel.openova.io` / bare `openova.io` host literal.,core/marketplace/src/pages/redeem.astro
78,funnel,"Click ""Sign up to redeem"" → the browser lands on the plan picker grid (`/plans`).",core/marketplace/src/pages/plans.astro
79,funnel,Plans grid shows the tiers (S/M/L/XL/Flexi) with price/CPU/memory → pick plan M → advances to the app catalog (`/apps`).,core/marketplace/src/pages/plans.astro
80,funnel,App catalog grid (served from THIS Sovereign's catalog) → pick WordPress → advances to add-ons (`/addons`).,core/marketplace/src/pages/apps.astro
81,funnel,Add-ons step shows optional add-ons → leave defaults → Continue → advances to the BCP topology step (`/bcp`).,core/marketplace/src/pages/addons.astro
82,funnel,BCP topology step shows BOTH Single-region and Active-hot-standby radios (the Pillar-2 BCP choice at signup) → select Active-hot-standby → Continue → review.,core/marketplace/src/pages/bcp.astro
83,funnel,"Review summary shows the chosen plan (M), app (WordPress), topology (Active-hot-standby), the Org slug, and the pool-TLD → Proceed to checkout.",core/marketplace/src/pages/review.astro
84,funnel,"On checkout, enter the stranger's email → Send code → type the emailed sign-in code (no password) → the page shows the stranger signed in + Org confirmed.",catalyst-system/marketplace-api SMTP path + Secret sovereign-smtp-credentials (#5921)
85,funnel,"Checkout summary: the voucher credit is applied — ""Credit covers this order — 0 OMR due"" (no Stripe card form) → click Launch / Place order.",core/marketplace/src/pages/checkout.astro
86,funnel,"Provisioning progress timeline advances to Done (Creating Org → Committing manifests → Provisioning vCluster → Deploying WordPress → TLS → Health), no hang/red step.",marketplace-api provisioning-record writer; a fresh funnel run is itself gated behind #5921
87,funnel,"After Launch, the marketplace redirects to the per-Org console — URL becomes the per-Org console and loads with publicly-trusted TLS (no cert error / connection-refused).",products/catalyst/bootstrap/api/internal/handler/org_console_tls.go (no region term) + infra/providers/huawei/main.tf gateway_lb_members
88,funnel,"Per-Org console landing: the stranger is signed in zero-click as the Org owner (their email in the avatar, their Org in the header) — no login/PIN form.",products/catalyst/bootstrap/api/internal/handler/org_console_tls.go — plus a browser walk; the row is mutation-gated not blocked
89,funnel,Per-Org console → Applications view shows the purchased WordPress app card Running/Healthy → click Open.,products/catalyst/bootstrap/ui/src/pages/sovereign/AppsPage.tsx
90,funnel,Terminal acceptance: the purchased WordPress app SERVES at its own FQDN the app FQDN — the live rendered WordPress site (not 404/502/cert error).,products/catalyst/bootstrap/api/internal/handler/org_console_tls.go + infra/providers/huawei/main.tf gateway_lb_members
91,funnel,"While signed in, re-open the marketplace root → the returning-user redirect sends the customer to their own Org console, never to `console.openova.io` / the mothership.",core/marketplace/src/layouts/Layout.astro returning-user redirect — plus a signed-in-customer walk
92,funnel,"As the signed-in customer, rapidly re-submit checkout/redeem >5× in a few seconds → after ~5 attempts a rate-limit notice appears; a single legitimate redeem is unaffected.",core/services/gateway/ratelimit.go
96,placement,"Handover URL → lands on `/dashboard` already signed-in as the owner (avatar E), no login form.",catalyst-api image pin on hw292 (source already fixed at products/catalyst/bootstrap/api/internal/handler/auth_handover.go acceptedHandoverIssuers)
97,placement,Dashboard renders the cluster treemap and the LAYER 1 / LAYER 2 grouping comboboxes are visible.,products/catalyst/bootstrap/ui/src/pages/sovereign/Dashboard.tsx
98,placement,"Click LAYER 1 combobox → select `vCluster`; the treemap regroups into one labelled block per vCluster (`host` / `mgmt` / `rtz` / `dmz`), mgmt block visible + clickable.",docs/ledger/UAT.md row clause (retire or rewrite) — the mgmt/rtz/dmz planes are gone by design
99,placement,"On the LAYER1=vCluster treemap, the **grafana** tile sits inside the **mgmt** block, not **host**.",docs/ledger/UAT.md row clause (retire or rewrite)
G5,janitor,janitor log-only live proof (the dry-run full-cycle observation).,stamp the row from the mothership catalyst-api log; no mutation and no deliberate session are required
G8,apps,anthropic credential seeded into the agentic runtime — chat works end-to-end.,founder places the Anthropic credential in OpenBao catalyst/anthropic/token (#4277)
R1,janitor,"catalyst-api orphan-sweep no longer reaps a `ready` Sovereign — denylist inversion (`case ""wiped"": eligible; default: protect`) holds on the live env.",stamp from the mothership janitor pass now that a ready Sovereign is in the registry; the vacuity that blocked it is gone
R3,sso,bp-plane-isolation openbao default-deny ADMITS sso-bridge ingress → sso-bridge reaches openbao:8200.,platform/plane-isolation/chart/values.yaml (allowIngressFrom sso-bridge ~line 131)
R4,sso,sso-bridge egress CNP permits openbao + keycloak — the reconciler's own egress is not blocked.,platform/sso-bridge/chart/templates/networkpolicy.yaml (keycloak port 80+8080 allow)
R5,sso,sso-bridge re-mints the grafana OIDC client secret each tick (KC_ADDR cache refreshed) — no stale-secret 401.,platform/sso-bridge (reconciler tick) + clusters/_template/bootstrap-kit/25-grafana.yaml
R6,postgres,bp-postgres NetworkPolicy admits the declared consumers (CNPG operator probe + app dials).,platform/postgres/chart
R7,plane-isolation,bp-plane-isolation admits gitea ingress for its declared consumers (org-services→gitea de-vcluster gap).,platform/plane-isolation/chart
R8,gitea,gitea-flux-auth secrets are seeded — Flux pulls from gitea with valid credentials.,live:gitrepository/flux-system
R9,sso,oidc-gate client_secret is seeded for powerdns-admin — full OIDC round-trip completes.,clusters/_template/bootstrap-kit/13c-bp-oidc-gate.yaml:205-209 + platform/powerdns-admin/chart/templates/deployment.yaml
100,placement,"On the LAYER1=vCluster treemap, the **harbor** tile sits inside the **mgmt** block, not **host**.",docs/ledger/UAT.md row clause (retire or rewrite)
101,placement,"On the LAYER1=vCluster treemap, the **keycloak** tile sits inside the **mgmt** block, not **host**.",docs/ledger/UAT.md row clause (retire or rewrite)
102,placement,"On the LAYER1=vCluster treemap, the **gitea** tile sits inside the **mgmt** block, not **host**.",docs/ledger/UAT.md row clause (retire or rewrite)
103,placement,"On the LAYER1=vCluster treemap, the **openbao** tile sits inside the **mgmt** block, not **host**.",docs/ledger/UAT.md row clause (retire or rewrite)
104,placement,"On the LAYER1=vCluster treemap, the **newapi** tile sits inside the **mgmt** block, not **host**.",docs/ledger/UAT.md row clause (retire or rewrite)
105,placement,"On the LAYER1=vCluster treemap, the **guacamole** tile sits inside the **mgmt** block, not **host**.",docs/ledger/UAT.md row-105 clause re-spec (#3642)
106,placement,Drill into the **mgmt** block: its tiles include all 7 named apps (grafana/harbor/key… alongside loki/mimir/nats/tempo.,docs/ledger/UAT.md row-106 clause re-spec (#3642)
107,placement,Read the **host** block on the same treemap: none of the 7 named apps appear under `host`.,docs/ledger/UAT.md row-107 clause re-spec (#3642)
108,placement,"Open the keycloak app card → its placement detail reads `mgmt` (the per-app placement mirrors the treemap block), not `host`.",docs/ledger/UAT.md row-108 clause re-spec (#3642)
109,placement,"The sovereign-realm account console renders for the owner (no second login, no error dialog).",KC account-console token brokering from a catalyst-pin session (#688) or owner adjudication
110,placement,"Gitea opens already signed in (avatar/menu shows the SSO user), repo list renders — no Gitea login form.",platform/gitea (OIDC client) + live:gitea.hw292
111,placement,"Harbor opens signed in, the projects list renders — no Harbor login form, no gateway error page.",platform/harbor (OIDC client) + live:registry.hw292
112,placement,"Grafana opens signed in (no Grafana login), the home dashboard renders.",platform/grafana (Generic OAuth) + live:grafana.hw292
113,placement,The OpenBao UI renders signed in via OIDC — no manual token/unseal prompt blocking the landing.,platform/openbao (OIDC auth) + live:openbao.hw292
114,placement,"newapi opens signed in, its main console renders — no login form, no upstream-connect error.",products/... newapi chart (OAuth) + live:newapi.hw292
115,placement,"Guacamole opens signed in, the connections list renders — no Guacamole login form.",guacamole_connection seeding + unblock the bp-cilium HelmChart ghcr-pull auth failure
116,orgs,"Organizations directory: the page title / heading reads ""Organizations"", never ""Tenants""/""SME Tenants"".",products/catalyst/bootstrap/ui/src/pages/sovereign/organizations/OrganizationsDirectoryPage.tsx
117,orgs,"Directory org cards / list rows: column headers read ""Organization / Kind / Tier / Billing / Isolation / Status""; rows labeled ""Organization"", never ""tenant""/""SME"".",products/catalyst/bootstrap/ui/src/pages/sovereign/organizations/OrganizationsDirectoryPage.tsx
118,orgs,"Left-nav sidebar label for this section reads ""Organizations"", not ""Tenants""/""SME"".",products/catalyst/bootstrap/ui/src/pages/sovereign/SovereignSidebar.tsx
119,orgs,"Create-organization flow: the form title, field labels, and submit button all say ""Organization"" (no ""SME tenant slug"" / ""Onboard tenant"" persona words).",products/catalyst/bootstrap/ui/src/pages/org/CreateOrganizationPage.tsx
120,orgs,"Organization-detail view: heading ""Acme Corp"", breadcrumb ""← Organizations"", field labels Slug/Kind/Tier/Billing mode/Isolation/Stat… — no ""tenant""/""SME"".",products/catalyst/bootstrap/ui/src/pages/sovereign/organizations/OrganizationDetailPage.tsx
121,orgs,"BSS / billing screen: billing is framed as ""This organization is in showback mode…"", zero ""tenant""/""SME"" leaks.",rename the org-services tenant microservice or add a console display-name alias
122,orgs,"Legacy `/bss/tenants` URL (PR #3390 alias) resolves and redirects to `/organizations`, rendering the directory (H1 ""Organizations"") — not a 404, not a login redirect.",products/catalyst/bootstrap/ui/src/app/router.tsx
123,catalog,"Handover URL → lands on `/dashboard` already signed-in as the owner (avatar E), no login form (everything below is admin-gated).",roll catalyst-api to an image built from a commit >= 3eed58270
124,catalog,"Catalog grid renders Blueprint cards in a tile grid, each with an icon + summary; the Alloy card is visible.",products/catalyst/bootstrap/ui/src/pages/sovereign/CatalogPage.tsx
125,catalog,"Click the Alloy card → the detail page renders: a hero (icon + name + summary + Edit IaC), an About section, and an Instances list; no login redirect.",products/catalyst/bootstrap/ui/src/pages/sovereign/CatalogDetail.tsx
126,catalog,Click the admin Edit affordance in the hero → an edit form drops INLINE into the detail page (no modal overlay); fields appear in-place under the hero.,products/catalyst/bootstrap/ui/src/pages/sovereign/CatalogInlineField.tsx
127,catalog,"In the inline form, change Summary to `RECONCILE-PROOF-<ts>` → Save → the page refreshes in place and the new summary shows in the hero.",products/catalyst/bootstrap/ui/src/pages/sovereign/CatalogInlineField.tsx
128,catalog,"Back on the grid, the Alloy card summary now reads `RECONCILE-PROOF-<ts>` — the edit propagated to the card, not just the detail page.",products/catalyst/bootstrap/ui/src/pages/sovereign/CatalogPage.tsx
129,catalog,"Hard-reload the detail page → the summary is still `RECONCILE-PROOF-<ts>` — the edit persisted across a reload, not an in-memory overlay.",products/catalyst/bootstrap/api/internal/handler/catalog_iac_edit.go
130,catalog,"The non-card `version` field renders as a `v1.0.1` chip in the hero, and Edit IaC exposes the full CR including `version` for editing.",products/catalyst/bootstrap/ui/src/pages/sovereign/CatalogDetail.tsx
131,catalog,Note the current hero logo (the Alloy glyph) as the baseline before an icon edit.,products/catalyst/bootstrap/ui/src/shared/lib/resolveCatalogIcon.ts
132,catalog,"Click Edit → in the Light-theme icon field paste a distinct image → Save → a ""Saved to IaC ✓"" confirmation shows and the page refreshes.",products/catalyst/bootstrap/ui/src/pages/sovereign/CatalogInlineField.tsx
133,catalog,"Observe the hero — it now shows the new logo; the render reads the edited `card.iconLight` first (IaC-first), not the bundled asset.",products/catalyst/bootstrap/ui/src/shared/lib/resolveCatalogIcon.ts
134,catalog,Return to the grid — the Alloy card icon is now the new logo (the grid tile resolves the same edited `card.iconLight`).,products/catalyst/bootstrap/ui/src/shared/lib/resolveCatalogIcon.ts
135,catalog,Reload the detail page — the hero is still the new logo (render reads the persisted IaC icon on every load).,products/catalyst/bootstrap/ui/src/shared/lib/resolveCatalogIcon.ts
136,catalog,"Click Edit again — the Light-theme icon field shows the current IaC value, falling back to the bundled asset only when IaC carries none.",products/catalyst/bootstrap/ui/src/pages/sovereign/IconPicker.tsx
137,catalog,Click Edit → click the icon picker (`iconpicker-*`) → a thumbnail grid of vendored `component-logos/*` assets opens (a role=listbox grid of logo tiles).,products/catalyst/bootstrap/ui/src/pages/sovereign/IconPicker.tsx
138,catalog,Click `cilium.svg` in the picker grid → the icon field + a live preview swatch update to the Cilium logo.,products/catalyst/bootstrap/ui/src/pages/sovereign/IconPicker.tsx
139,catalog,Save → reload — the hero is now the Cilium logo (the picker selection persisted to IaC and renders on hero + grid card).,products/catalyst/bootstrap/ui/src/shared/lib/resolveCatalogIcon.ts
141,catalog,"Hover the summary line in the hero → a pencil/edit affordance appears ON the field (`cif-summary-edit` → `cif-summary-input`), inline, without opening the full form.",products/catalyst/bootstrap/ui/src/pages/sovereign/CatalogInlineField.tsx
142,catalog,Click the summary → type a value → Save → only the summary updates in place; no full-form modal opens.,products/catalyst/bootstrap/ui/src/pages/sovereign/CatalogInlineField.tsx
143,catalog,Repeat the inline edit for the name field (`cif-name-edit` → `cif-name-input`) — it edits in place and saves just that field.,products/catalyst/bootstrap/ui/src/pages/sovereign/CatalogInlineField.tsx
144,catalog,"Click Edit IaC (`catalog-detail-ed… admin only) → the full `blueprint.yaml` opens in the YAML editor (the entire CR, not just 7 card fields).",products/catalyst/bootstrap/ui/src/widgets/cloud-list/YamlEditor.tsx
145,catalog,Change a field in the editor → Commit → a Show-diff Current/Proposed side-by-side renders the change and the commit succeeds (confirmation appears).,products/catalyst/bootstrap/ui/src/widgets/cloud-list/YamlEditor.tsx
146,catalog,"The editor subtitle states it directly: ""Commit writes the IaC source of truth; Flux reconciles it… Both this editor and the card form above write the same file.""",products/catalyst/bootstrap/ui/src/pages/sovereign/CatalogDetail.tsx
147,catalog,"Open the WordPress detail page → Edit → change Summary → Save → reload → the summary persists, exactly as for Alloy.",products/catalyst/bootstrap/api/internal/handler/catalog_iac_edit.go
148,catalog,WordPress: Edit IaC → edit `spec.manifests` → Commit → reload — the same YamlEditor edits a structurally-different blueprint's manifests in place.,products/catalyst/bootstrap/ui/src/widgets/cloud-list/YamlEditor.tsx
149,catalog,WordPress: Edit → Light-theme icon → distinct image → Save → reload — the WordPress hero icon visibly changes.,products/catalyst/bootstrap/ui/src/shared/lib/resolveCatalogIcon.ts
150,catalog,"PostgreSQL detail renders the SAME edit surface (hero icon, Edit IaC, clickable cards) and Edit IaC exposes `contextSchema` (a blueprint carrying contextSchema`/`sha…",products/catalyst/bootstrap/ui/src/widgets/cloud-list/YamlEditor.tsx
151,catalog,Alloy + Postgres render the IDENTICAL edit chrome (same cif-icon-edit`/`cif… same Edit-IaC YamlEditor) — no blueprint-specific UI.,products/catalyst/bootstrap/ui/src/pages/sovereign/CatalogDetail.tsx
152,catalog,The catalog detail page renders (hero · About · Instances) and opens an INLINE Edit form (no modal) — acceptance headline 1.,products/catalyst/bootstrap/ui/src/pages/sovereign/CatalogDetail.tsx
153,catalog,"A summary edit Saves, updates the page AND the grid card, and persists across a reload — acceptance headline 2.",products/catalyst/bootstrap/ui/src/pages/sovereign/CatalogPage.tsx
154,catalog,"A non-card field edit (`version`) persists — the whole CR is editable, not a 7-field overlay — acceptance headline 3.",products/catalyst/bootstrap/ui/src/widgets/cloud-list/YamlEditor.tsx
155,catalog,The edited icon renders on hero + grid + survives reload; the form pre-fills the IaC icon; the picker grid works — acceptance headline 4.,products/catalyst/bootstrap/ui/src/shared/lib/resolveCatalogIcon.ts
157,catalog,"Per-field inline edit for cards (`cif-*`) + the full-CR YamlEditor (Edit IaC) for the rest, both writing the same IaC source — acceptance headline 6.",products/catalyst/bootstrap/ui/src/pages/sovereign/CatalogDetail.tsx
