row_id,test_case,epic,verdict_now,evidence_0627,evidence_now
67,"grafana status/overview reports Healthy/Running in both regions — no ""cannot resolve write host"" crashloop in the app health panel.",topology,⚠,2026-06-27 91dc0591 authed sweep: grafana Healthy/Running 3/3 in BOTH ,"hw292-2026-08-06T01:54Z RE-WALK (dep 1c56518035a83e03, authed owner, B"
69,"keycloak status reports Healthy/Running in both regions — JGroups DB-host resolves, no UnknownHostException in the health panel.",topology,⚠,2026-06-27 91dc0591 authed sweep: keycloak Healthy/Running in BOTH reg,"hw292-2026-08-06T01:54Z RE-WALK (dep 1c56518035a83e03, authed owner, B"
71,"Region-kill baseline (before): `shared-pg` Topology tab shows live Continuum Ready, lease held by region-a, region-b standby present, a live replication-lag number.",topology,⚠,2026-06-27 91dc0591: baseline (pre-kill) state proven live — Continuum,"hw292-2026-08-06T01:41Z RE-WALK (dep 1c56518035a83e03, authed owner): "
75,"Stranger opens the redeem page with `?code=<CODE>` → sees ""Voucher valid · 5000 OMR"" with THIS Sovereign's brand chrome (no openova.io / mothership logo).",funnel,⚠,2026-06-27 91dc0591: valid-code redeem validates E2E through the PUBLI,hw292-2026-08-04T00:0xZ LIVE BROWSER WALK. STILL PARTIAL. Clause (b) —
84,"On checkout, enter the stranger's email → Send code → type the emailed sign-in code (no password) → the page shows the stranger signed in + Org confirmed.",funnel,❌,"§A: magic-link→verify 200 → POST /tenant/orgs 201, Org CR landed (uat-","hw291-2026-07-29: render half verified, completion is a WRITE and out "
86,"Provisioning progress timeline advances to Done (Creating Org → Committing manifests → Provisioning vCluster → Deploying WordPress → TLS → Health), no hang/red step.",funnel,❌,"§A/§C/§I 91dc0591 (C1, supersedes prior ⛔): post-#4471 org-controller ","hw292-2026-08-04T03:0xZ LIVE WALK. RE-CONFIRMED terminal, and the inte"
87,"After Launch, the marketplace redirects to the per-Org console — URL becomes the per-Org console and loads with publicly-trusted TLS (no cert error / connection-refused).",funnel,⚠,2026-06-27 91dc0591 authed sweep: per-Org console.uatwalk91.omani.home,"hw292-2026-08-04T00:0xZ LIVE BROWSER WALK. STILL PARTIAL, and the spli"
88,"Per-Org console landing: the stranger is signed in zero-click as the Org owner (their email in the avatar, their Org in the header) — no login/PIN form.",funnel,⛔,"§C/§I 91dc0591 (C1, supersedes prior ⛔): per-Org console.uatwalk91.oma",hw291-2026-07-30: BLOCKED - mutation-gated AND the destination is prov
90,Terminal acceptance: the purchased WordPress app SERVES at its own FQDN the app FQDN — the live rendered WordPress site (not 404/502/cert error).,funnel,❌,"2026-06-24 LIVE (demo Org, dep `4635277cae4ffed9`, [#3785](https://git",hw292-2026-08-04T03:0xZ LIVE WALK. 4/8 fresh-TCP reachable (302 when i
91,"While signed in, re-open the marketplace root → the returning-user redirect sends the customer to their own Org console, never to `console.openova.io` / the mothership.",funnel,⛔,2026-06-27 91dc0591 funnel walk (Refs #909): signed-in re-open of the ,hw291-2026-07-30: BLOCKED - same 0/8 dead destination plus it needs a 
92,"As the signed-in customer, rapidly re-submit checkout/redeem >5× in a few seconds → after ~5 attempts a rate-limit notice appears; a single legitimate redeem is unaffected.",funnel,❌,2026-06-27 91dc0591 funnel walk (Refs #909): rapid POST `/api/billing/,hw292-2026-08-04T02:5xZ LIVE PROBE — the walk is INCONCLUSIVE and is r
96,"Handover URL → lands on `/dashboard` already signed-in as the owner (avatar E), no login form.",placement,⛔,"§G 91dc0591: handover URL → /dashboard signed-in as owner (avatar EB),",hw292-2026-08-03: BLOCKED — the signed handover URL cannot be walked b
115,"Guacamole opens signed in, the connections list renders — no Guacamole login form.",placement,❌,"§B 91dc0591: signed-in connections list as emrah.baysal@, sso-guacamol","hw292-2026-08-04T03:0xZ LIVE WALK. Same two blockers as row 35, measur"
121,"BSS / billing screen: billing is framed as ""This organization is in showback mode…"", zero ""tenant""/""SME"" leaks.",orgs,⚠,2026-06-27 91dc0591 authed walk (throwaway-mailbox PIN session): billi,hw292-2026-08-06T01:42Z ‖ REPRODUCES hw290's split verdict exactly. SH
123,"Handover URL → lands on `/dashboard` already signed-in as the owner (avatar E), no login form (everything below is admin-gated).",catalog,⛔,2026-06-27 91dc0591 authed sweep: authed owner session → catalog detai,hw292-2026-08-03: BLOCKED — the signed handover URL cannot be walked b
173,Leave the table on screen ~30s → rows update live (tail) as reconciliation progresses; a status badge changes in place without a manual reload.,jobs,❌,"§E 91dc0591: live state stream re-attaches every 5s (tail), no manual ","hw292-2026-08-08 LIVE WALK — a job badge changes IN PLACE, which is th"
176,"Click Re-run on a Failed row → a success toast/feedback appears and the button flips in place (e.g. `Requesting…`) — the browser triggered a re-reconcile, no terminal.",jobs,⛔,2026-06-27 91dc0591 (Refs #909): #4511/#4514 ROLLED LIVE — catalyst-ap,"hw291-2026-07-30: NOT EXECUTED, deliberately - and the non-execution i"
177,"Use the same Re-run button on a Failed row — one remediation mechanism across rows, no per-kind UI (the single-table/single… shape).",jobs,⚠,2026-06-27 91dc0591 authed sweep: the same Re-run mechanism renders ac,hw292-2026-08-06T01:45Z ‖ PARTIAL — the 'one mechanism / no per-kind U
178,"The signed handover URL → lands directly on `/dashboard` signed-in (env switcher shows the live env, avatar E, no login form).",meta,⛔,"§I 91dc0591: console.omantel.biz/dashboard 200, owner emrah.baysal@/om",hw292-2026-08-03: BLOCKED — the signed handover URL cannot be walked b
188,A genuine single-region app (catalyst-api) correctly shows **singleton** (no false multi-region).,topology,⚠,2026-06-27 91dc0591 (Refs #909): catalyst-api runs in region-a ONLY — ,"hw292-2026-08-06T01:39Z RE-WALK (dep 1c56518035a83e03, authed owner): "
192,"The convergence **Reconciliation** link opens the cloud **RECON lens** (`view=graph&lens=reconciliation`), not the default cloud lens.",recon,⚠,§I 91dc0591: /cloud?view=graph&lens=reconciliation renders; Lens combo,hw292-2026-08-06T01:41Z ‖ REPRODUCES hw290's split verdict; nothing ch
212,MCP **Org-scoped** token → `list_applications` returns ONLY that Org's apps (RBAC parity).,mcp,⛔,§H 91dc0591: minted org-admin JWT for uatwalk91 → GET /api/v1/org/appl,hw291-2026-07-30: BLOCKED - only ONE MCP instance exists (catalyst-sys
213,MCP cross-Org `get_application` → **403** (UI-parity).,mcp,⛔,§H 91dc0591: org token → sovereign-admin /api/v1/fleet/applications = ,hw291-2026-07-30: BLOCKED - same #5206 identity guard fires before han
218,"**chepherd is installable from the catalog as an Application** (`bp-agenity` **Helm chart**). Surface: per-Org console → Catalog → the `bp-agenity` card renders + the install wizard opens with the Org's Environment pre-selected as the target. PASS = card present + wizard opens (the chart resolves from the catalog, not 404).",e2e-journey,⚠,2026-06-27 91dc0591 (SUPERSEDES prior ⛔ CrashLoop verdict): sandbox-co,hw292-2026-08-06T01:52Z ‖ PARTIAL — hw291's FIRST caveat is FIXED (thi
219,"The user **provisions chepherd** as an Application → it converges (Helm deploys, pods Ready, chepherd console reachable in his Org).",e2e-journey,❌,2026-06-28 fresh North-Star Org `agnstar` on 91dc0591 (E2E acceptance ,hw292-2026-08-04T02:1xZ LIVE RE-WALK — the CONVERGENCE half now passes
223,"The chepherd agent's actions are **RBAC-scoped to the user's Org** (UI-parity): the openova-mcp `list_applications` returns ONLY this Org's apps (a 2nd Org's are filtered out), a cross-Org `get_application` → **403**, and the agent cannot create/mutate in any other Org — enforced by `openova-mcp/internal/identity` Org-claim, not just the chat prompt.",e2e-journey,⛔,2026-06-28 agnstar E2E acceptance walk on 91dc0591: minted an agnstar-,hw291-2026-07-30: BLOCKED and the asserted 403 is NOT what happens. Al
227,"A catalog/seed version bump reaches the live **Blueprint CR zero-touch** — bumping a `bp-*` pin in the catalog seed lands on the cluster Blueprint CR with NO manual `kubectl patch` and NO `resource-policy: keep` annotation pinning a stale version. PASS = after a seed bump, `kubectl get blueprint bp-<x> -o jsonpath='{.spec.version}'` matches the seeded version within one reconcile, the seeder owns the field (no `helm.sh/resource-policy: keep`), and the rolled chart renders on the cluster.",delivery,⛔,"§F: bp-wordpress helm-managed, 0/81 resource-policy:keep, spec.version",hw292-2026-08-03T13:18Z ⛔ BLOCKED BY DESIGN on a POST-CUTOVER Sovereig
233,"On a fresh funnel Org, **WordPress serves HTTP 200** — the mysql DB pod is Guaranteed-QoS (requests==limits, schedulable under the per-Org LimitRange), the HTTPRoute is present, and the landed host is pool-aligned to the console-ELB EIP. PASS = `curl https://wordpress.<slug>.<pool-tld>/` → 200 (or 302→install then 200), mysql pod QoS=Guaranteed + Running, HTTPRoute parents the console gateway, host resolves to the console-ELB EIP (not the primary ELB).",apps,⚠,"§I 91dc0591 (C1, supersedes prior ⛔): wordpress.uatwalk91.omani.homes ",hw292-2026-08-04T16:40Z RE-WALK on funnel Org `uatco`: **all four name
