row_id,verdict,artifact_path,artifact_exists,layer_match,surface_path,reason,artifact_shared_with
20,LAYER-MISMATCH,(inline JSON; no file),n/a,no,products/catalyst/bootstrap/api/internal/handler/org_consumption.go (orgForRow) + products/catalyst/bootstrap/ui/src/pages/sovereign/Dashboard.tsx,Clause asserts a RENDERED property ('visually distinct on the treemap') but every stamp grades the JSON projection — GET /api/v1/dashboard/treemap returns two sibling top-level nodes __platform__ 195/20110 and uatco 9/2770 with disjoint children; the projection is measured and correct but 'so the customer estate is a distinct region' is an inference to rendering and no treemap screenshot is cited (row97-dashboard-treemap-layers.png exists and is uncited),
21,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row21-showback-application-column.png,yes,yes,products/catalyst/bootstrap/ui/src/pages/sovereign/organizations/ShowbackPanel.tsx,"The PROSE alone is vacuous — it only records the parent Org showing 'No applications attributed yet' with 0 units; an Application column with zero rows cannot fail the clause; the cited screenshot rescues it: I opened it and the uatco section lists exactly 5 Applications (uatco-agenity-rtz-a, vcluster, uatco-mail-rtz-a, uatco-openclaw-mgmt-a, bp-oidc-gate) all in namespace uatco with no infra leakage",22 23 R14
22,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row22-showback-platform-overhead.png,yes,yes,products/catalyst/bootstrap/ui/src/pages/sovereign/organizations/ShowbackPanel.tsx,Verbatim roll-up line with four concrete totals and the '(one-shot jobs) (various)' row; I opened the screenshot and the single visually-distinct __platform__ section is present holding the full control-plane table,21 23 R14
23,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row23-showback-second-org-row.png,yes,yes,products/catalyst/bootstrap/ui/src/pages/sovereign/organizations/ShowbackPanel.tsx,"Three verbatim section headers with per-section totals show the second Org as its own section distinct from platform overhead; prose (08-03) attributes uatco a single 'vcluster' row which is isolation rather than an app, but the 08-06 screenshot shows uatco carrying four real workloads plus vcluster so the clause's 'runs an app' is satisfied by the artifact",21 22 R14
24,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row24-sharedpg-tabstrip.png,yes,yes,products/catalyst/bootstrap/ui/src/pages/sovereign/AppDetail,Full tab strip quoted verbatim with all four canonical tabs in order AND a real negative control — /app/bp-cilium (non-shareable) renders no Contexts tab — so the conditional half is discriminating not assumed,
25,BACKED,commits 3fc75ca68 (#5819) + b89813012 (#5833),yes,yes,products/catalyst/bootstrap/api consumptionParentOrg + mergeOrgResponses + live:catalyst-api image tag,Both named residual fixes are on main and neither is in fad88bd; residual NEW (i) rides on #5814 which is also undeployed — every leg is deploy-gated on the running 2026-08-02 image,
26,ARTIFACT-MISSING,docs/sessions/**/row26-console-bare.png,no,yes,products/catalyst/bootstrap/ui/src/pages/sovereign/Dashboard.tsx + catalyst-api PIN auth,Evidence claims 'Screenshot captured (row26-console-bare.png)' but that exact filename exists nowhere in the repo; the only on-disk near-match is docs/sessions/2026-08-06/hw292-screenshots/row26-console-bare-url-owner.png from a DIFFERENT (08-06) walk; prose itself is strong (final URL /dashboard; PIN-input/login-button/email-input counts all 0 by role selector) so this is a lost artifact not a layer defect,
27,BACKED,docs/sessions/2026-08-08/hw292-browser-walk/hw292-03-avatar-menu.png,yes,yes,products/catalyst/bootstrap/ui/src/widgets/auth/ProfileMenu.tsx,Real browser walk with a PIN-typed session; DOM reads 'SIGNED IN AS emrah.baysal@openova.io' plus a 'Sign out' item; verified the artifact by DIRECTORY (hw292-browser-walk) + FILENAME (avatar-menu) since the file does not carry the row id; the older row-id-named docs/sessions/2026-08-06/hw292-screenshots/row27-console-avatar-menu-signedin.png also exists; CAVEAT the cell self-discloses that the menu is BOTTOM-LEFT not the 'top-right' the clause states,
28,BACKED,docs/sessions/2026-08-08/hw292-browser-walk/hw292-04-users.png,yes,yes,products/catalyst/bootstrap/ui/src/pages/admin/user-access/UserAccessListPage.tsx,Browser walk renders /users with the owner row in the DOM; the cell explicitly refuses to let the earlier admin/user-access HTTP 200 settle the render clause and waits for the DOM — that is the correct layer discipline; tier=owner half carried by the live CR field tierRoleRef=openova:tier-owner; artifact verified by FILENAME (04-users) + DIRECTORY,45
29,BACKED,docs/sessions/2026-08-08/hw292-ttl/hw292-silent-reauth-works.png,yes,yes,products/catalyst/bootstrap/ui/src/router.tsx:287 markAuthed staleness + live:catalyst-ui image tag,Fix #5909 is merged but the console still runs catalyst-ui:fad88bd so the stale-marker fast path is live; the 2026-08-09 fresh-context walk is correctly refused as vacuous (a fresh browser never had a marker); note the cited row29-console-unauth-login.png is not present in docs/sessions,
30,BACKED,docs/sessions/2026-08-08/hw292-sso-walk/hw292-sso-30-grafana-menu.png,yes,yes,clusters/_template/bootstrap-kit/25-grafana.yaml,Both sub-clauses opened rather than inferred — left nav 'Administration' and the user menu reading the owner — after a console PIN session was established first and the bare URL visited in the SAME browser context; landed title 'Home - Dashboards - Grafana'; filename names row 30,
31,BACKED,docs/sessions/2026-08-08/hw292-sso-walk/hw292-sso-31-gitea-menu.png,yes,yes,clusters/_template/bootstrap-kit/10-gitea.yaml,Path is ELIDED in the cell ('.../hw292-sso-31-gitea-menu.png') but resolves in the sibling sso-walk directory and exists; landed title 'emrah.baysal - Dashboard - Catalyst Gitea' matches the clause verbatim and the profile menu exposes Site Administration; filename names row 31,
32,BACKED,docs/sessions/2026-08-08/hw292-sso-walk/hw292-sso-32-harbor.png,yes,yes,clusters/_template/bootstrap-kit/19-harbor.yaml,Path ELIDED in the cell but resolves and exists; landed /harbor/projects with 0 password inputs; owner dropdown and an expanded Administration menu enumerated item-by-item; row was FAILING on 2026-08-03 so the check demonstrably can fail; filename names row 32,
33,BACKED,docs/sessions/2026-08-08/hw292-sso-deep/hw292-kc2-row33.png,yes,yes,live:OpenBao policy bound to the OIDC role (sys/internal/ui/mounts read),Split is genuine and re-confirmed live: https://bao.hw292.omani.works/ returns 302 to /sso/landing (SSO half real; not the token prompt the row forbids) while the Secrets-engines pane 403s on sys/internal/ui/mounts so the clause's 'lands in Secrets engines' half fails on authorization,
34,BACKED,docs/sessions/2026-08-08/hw292-sso-walk/hw292-sso-34-keycloak.png,yes,yes,clusters/_template/bootstrap-kit/09-keycloak.yaml + live:keycloak-realm,Path ELIDED but resolves and exists; landed INSIDE the sovereign-realm admin console reading 'Sovereign / Current realm' with the Manage nav enumerated; 0 password inputs and no master-realm login; prior 2026-08-03 result was the login form so the negative outcome is real; filename names row 34,
35,BACKED,docs/sessions/2026-08-08/hw292-sso-deep/hw292-kc2-row35.png,yes,yes,clusters/_template/bootstrap-kit/13c-bp-oidc-gate.yaml (guacamole instance) + 52-bp-guacamole.yaml,Landed https://guacamole.hw292.omani.works/guacamole/#/ with the connections list rendering 'RECENT CONNECTIONS emrah.baysal@openova.io' — a positive identity string; explicitly negates the two named failure modes (Tomcat 404; /guacamole/ login page); filename names row 35,
36,BACKED,docs/sessions/2026-08-08/hw292-sso-deep/hw292-kc2-row36.png,yes,yes,clusters/_template/bootstrap-kit/13c-bp-oidc-gate.yaml:205-209 (powerdns-admin instance),Title 'Dashboard - PowerDNS-Admin' with the owner email and Logout in the DOM plus the full nav enumerated; the cell also records that the real host is pdns-admin.* and that an earlier 404 was evidence about a GUESSED hostname not about the app — subject verified before value; filename names row 36,
37,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row37-newapi-login-not-signedin.png,yes,yes,platform/newapi (oidc-gate fronting vs native keycloak client) + live:flux bp-newapi HelmRelease,"Re-measured live this turn: GET https://newapi.hw292.omani.works/ returns HTTP 200 with an EMPTY redirect_url — it serves its own page and never hands off to /console, exactly as recorded, while the five oidc-gate-fronted apps 302 (bao. 302s in the same probe as control)",
38,BACKED,none (paired with row 37),n/a,yes,see row 37,Blocked by row 37; resolved 2026-08-10 — verdict left alone per instruction,
39,LAYER-MISMATCH,docs/sessions/2026-08-08/hw292-sso-walk/hw292-sso-39-hubble.png,yes,no,clusters/_template/bootstrap-kit/01-cilium.yaml (catalystOverlay.hubbleUI.auth line 535),The clause's discriminating property is 'authenticated (not an anonymous/unauth view)' and the evidence grades only page SHAPE — real Hubble UI painted; 0 password inputs; no login copy — with NO identity string anywhere in the DOM (unlike rows 31/32/34/35/36 which all show the owner); Hubble UI carries no user chrome so the identical DOM would render for an anonymous visitor whenever the oauth2-proxy gate is off; that is not hypothetical since the slot history shows HUBBLE_AUTH flipped none->oidc->none->oidc; the gate default is oidc today but the evidence never cites the gate so the row's negative half is ungraded,
40,BACKED,docs/sessions/2026-08-07/hw292-screenshots/row40-anon-storefront.png,yes,yes,core/marketplace/src/pages/index.astro,Clean-context anonymous browser walk with both clauses read from the painted page (title; storefront copy; 6-step nav) and the negative half measured as 0 redirects with /sign in to continue/i and /password/i FALSE; the 08-09 re-verify adds a CONTROL on the same Sovereign — grafana redirects AWAY to the broker and returns a 1063-byte shell — so a forced-login surface is visibly distinguishable and the check can fail; filename names row 40,
41,BACKED,none (keycloak admin API read with a realm-scope control),n/a,yes,live:keycloak sovereign realm user set + core org/useraccess signup path (#5883),2026-08-09 read of /admin/realms/sovereign/users found FOUR enabled principals with a 403-on-master control proving realm scope; even discounting the two row92-* walk-debris users the transposed near-duplicate emrha.baysal@ defeats the 'single owner principal' clause,
42,BACKED,docs/sessions/2026-08-08/hw292-sso-deep/hw292-kc2-row42.png,yes,yes,platform/keycloak/chart/templates/configmap-sovereign-realm.yaml + live:keycloak-realm,Walked to the owner's Groups tab in the sovereign-realm admin console (URL carries the user UUID) and BOTH memberships the row names render — /sovereign-admins and /openova-users; clause names the Groups tab and the evidence grades the Groups tab; filename names row 42,
43,BACKED,docs/sessions/2026-08-08/hw292-sso-deep/hw292-kc4-row43-effective-roles.png,yes,yes,platform/keycloak/chart/templates/configmap-sovereign-realm.yaml + live:keycloak-realm,Strongest method in the batch: the cell refuses two false negatives (catalyst-admin absent from the default view; absent from page 1 with inherited revealed) because keycloak hides inherited roles and paginates at 10; raised page size and walked every page for 29 effective roles with the row-level verbatim 'catalyst-admin | True | Catalyst console: admin tier'; the negative half (not only default-roles/uma/offline) is enumerated too,
44,BACKED,docs/sessions/2026-08-08/hw292-sso-deep/hw292-kc2-row44.png,yes,yes,platform/keycloak/chart/templates/configmap-sovereign-realm.yaml + live:keycloak-realm,Groups -> sovereign-admins -> Role mapping opened in the browser with all three named grants present in ONE view — catalyst-admin plus realm-admin plus realm-management — which is exactly the 'one source both grants' the clause asserts; filename names row 44,
45,BACKED,docs/sessions/2026-08-08/hw292-browser-walk/hw292-04-users.png,yes,yes,products/catalyst/bootstrap/ui/src/pages/admin/user-access/UserAccessListPage.tsx + SovereignSidebar.tsx,Render half fully graded at the DOM layer — sidebar entries enumerated and /users loads for the signed-in owner with the owner row plus '+ New' and per-row 'Delete' manage affordances; the row-id-named docs/sessions/2026-08-06/hw292-screenshots/row45-console-users-panel.png also exists; CAVEAT the trailing 'driven by the realm principal not a self-signed constant' half is argued by CHAIN (sidebar-entries 200 + whoami roles + rows 42/43/44) with no negative control — no walk shows the nav disappearing for a principal lacking catalyst-admin,28
46,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row46-new-instance-dialog-topology-select.png,yes,yes,products/catalyst/bootstrap/ui/src/pages/sovereign/AppDetail/InstancesSection.tsx,PNG opened and read: the New-instance-of-postgres dialog is on screen with a 'Topology mode' <select> plus Region(s) checkboxes; exactly the surface the clause names,49
47,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row47-topology-select-vocabulary.png,yes,yes,products/catalyst/bootstrap/ui/src/widgets/topology/modes.ts,PNG shows the select carrying active-hot-standby (row46/49 PNG shows singleton in the same select); the collapsed control cannot display all four at once so the exhaustive four-value + zero-legacy-token claim rests on the narrated DOM read; corroborated at source by ALL_MODES = exactly the four canonical values with a CI drift test,
48,RE-GREENABLE,none (blueprint.yaml + select gating read),n/a,yes,live:hw292 catalog create dialog for bp-wordpress-tenant — one browser assertion,"SELECTABLE was failed on an unrepresentative sample: I read topology.supported on disk and bp-wordpress-tenant; bp-stalwart-tenant; bp-newapi; bp-valkey; bp-openbao ALL declare ['active-passive','singleton'], and InstancesSection.tsx:836 sets enabled = allowedModeSet.has(m) with the '(not supported)' suffix only when absent — so on any of those five the option renders enabled; three of them are installed on hw292 today",
49,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row49-singleton-default-selected.png,yes,yes,products/catalyst/bootstrap/ui/src/widgets/topology/modes.ts,byte-identical to the row46 PNG (md5 1f3eb1d3); it does show 'singleton - one cluster; lowest cost; no failover' selected as the default and row47's capture of the same select shows a different value; distinctness holds,46
50,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row50-uat-ahs-pg-instance-ready.png,yes,yes,products/catalyst/bootstrap/ui/src/pages/sovereign/CatalogDetail.tsx + live:Application/uat-ahs-pg,artifact is byte-identical to row13-catalog-postgres-newinstance.png (md5 55dc31e8) but does show the Instances table with uat-ahs-pg / hw292-omani-works / active-hot-standby / Ready and no red error; create-succeeded is additionally carried by the cited Application CR,13 151
51,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row51-shared-pg-topology-per-region-placement.png,yes,yes,products/catalyst/bootstrap/ui/src/pages/sovereign/AppDetail/TopologyTab.tsx + live:Continuum/dr-shared-pg,PNG shows ONE Placement block 'Pattern: active-hot-standby' holding both region cards joined by a repl arrow; not two instance entries,54 56 64
53,BACKED,commit 796e587b2 (#5519) + 5036a66a5 (#5736),yes,yes,products/catalyst/bootstrap/api derivePattern (Go) + live:catalyst-api image tag,"Only HALF the cause is delivered: the FE guard placement.ts:107-108 returns PATTERN_NOT_REPORTED for primaries===0 and 796e587b2 IS an ancestor of fad88bd, but that guard covers only the zero-primary direction; the primaries>=2 fail-open that makes singleton-declared harbor/valkey render active-active has no guard, and the Go-side fix 5036a66a5 (2026-08-06) is NOT in fad88bd",
54,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row54-shared-pg-declared-topology-strip.png,yes,yes,products/catalyst/bootstrap/ui/src/pages/sovereign/AppDetail/TopologyTab.tsx,same byte-identical shared-pg capture as rows 51/52/56/64 (md5 cd1aff44); the declared strip reads 'Pattern: active-hot-standby' with no competing dialect anywhere on the page,51 56 64
56,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row56-shared-pg-replication-lag-seconds.png,yes,yes,products/catalyst/bootstrap/ui/src/pages/sovereign/AppDetail/TopologyTab.tsx + live:Continuum/dr-shared-pg,same shared PNG; it visibly carries PRIMARY REGION / STANDBY REGION cards and 'Replication lag 0.0 s' - the per-region placement plus replication block the clause names,51 54 64
58,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row58-cilium-singleton-dr-hidden.png,yes,yes,products/catalyst/bootstrap/ui/src/pages/sovereign/AppDetail/TopologyTab.tsx,tested assertion holds - the bp-cilium Topology tab renders Placement then Status with NO Disaster-recovery block and no Switchover; PREMISE DRIFT to flag: the same PNG shows cilium as 'Pattern: active-active' with two PRIMARY cards so it is not the 'singleton app' the clause names,
59,BACKED,none (read-only kubectl),n/a,no,platform/postgres/chart/templates/_helpers.tpl:7 + the wizard instance.name pass-through,"D1 re-confirmed on disk AND reproduced live on the exact singleton archetype the clause names: HelmRelease uat231-singleton-pg-rtz-a carries topology={'mode':'singleton'} with instance EMPTY, and CNPG Clusters named literally 'postgres' now exist in both uatco and walk-stranger-two; uatco/postgres is stuck 'Setting up primary' while its Application reports Ready (D3); note the stated 'mutation-gated' blocker is GONE — two singleton bp-postgres Applications exist, so only the Topology-tab render remains unread",
60,LAYER-MISMATCH,docs/sessions/2026-08-06/hw292-screenshots/row60-uat-ahs-pg-2region-topology.png,yes,no,products/catalyst/bootstrap/ui/src/pages/sovereign/AppDetail/TopologyTab.tsx,clause demands region-b replica + ARMED Switchover; the PNG shows the declared 2-region pair but the Disaster-recovery panel reads 'NOT LIVE - no live Continuum / cnpg pair backs it' with NO Switchover control and the per-cluster fan-out table empty (Cluster = em-dash); evidence grades the declaration layer while the clause names the runtime replica layer - the cell itself admits this,
61,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row61-apps-grid-topology-badges.png,yes,yes,products/catalyst/bootstrap/ui/src/pages/sovereign/AppsPage.tsx,PNG shows uat-ahs-pg as its own card badged active-hot-standby alongside singleton (guacamole/newapi/harbor/valkey) and active-pas... (spine-openbao) - the vacuity control the cell claims is visible in the artifact,
62,BACKED,docs/sessions/2026-08-06/hw292-uat-rewalk-14rows/hw292-rows55-62-71-shared-pg-topology.png,yes,yes,products/catalyst/bootstrap/ui/src/pages/sovereign/AppDetail/TopologyTab.tsx:502/871/901 + live:catalyst-ui image tag,"Every source claim verified verbatim on main: line 901 is still drStatus?.streamingState || 'hot replica (follows WAL)' (the static badge the clause forbids), standbyAbsent still keys off standbyAvailable===false at line 502 against a backend that emits no such field, and grep finds no leaseHolder render at all; the one merged leg (#5508 fc6be93fa) is NOT in fad88bd",71
64,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row64-shared-pg-replication-lag-live.png,yes,yes,products/catalyst/bootstrap/ui/src/pages/sovereign/AppDetail/TopologyTab.tsx + live:Continuum/dr-shared-pg,same shared shared-pg PNG; 'Replication lag 0.0 s' renders as a numeric value with unit under a LIVE badge - not a hardcoded em-dash,51 54 56
65,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row65-cloud-region-cluster-2of2.png,yes,yes,products/catalyst/bootstrap/ui/src/pages/sovereign/CloudPage.tsx,PNG shows the Cloud graph type chips Cloud 1/1 · Region 2/2 · Cluster 2/2 · NodePool 4/4 · WorkerNode 8/8 · LoadBalancer 2/2 with only me-east-215-a and -b region nodes; no phantom bubble,66
66,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row66-cloud-clusters-2of2-per-region.png,yes,yes,products/catalyst/bootstrap/ui/src/pages/sovereign/CloudPage.tsx,byte-identical to the row65 PNG (md5 6c106b51) and it is the graph lens rather than a distinct Clusters list; the Cluster 2/2 chip and the two region nodes are visible so the count assertion holds; HEALTHY rests on node colour plus the narrated chip reading,65
67,BACKED,(none cited),n/a,yes,products/catalyst/bootstrap/api/internal/handler/applications.go + catalyst-api image pin on hw292,"Partial is real; console Status panel abstains for bootstrap HRs and the /status fix (PR #5836, merge 472409679) is NOT in the deployed build — /api/v1/version self-reports sha=fad88bd (2026-08-02) and merge-base --is-ancestor is NO; deploy-gated, not prose",
68,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row68-powerdns-admin-healthy.png,yes,yes,live:pod/powerdns-admin-bp-powerdns-admin + platform/powerdns-admin,PNG shows the PowerDNS-Admin dashboard signed in with a DB-backed zone table (omani.works Native serial 2026080301) which is positive proof the CNPG-minted DB host resolved; the pod Healthy/Running half is narrated kubectl with concrete values rather than a pasted dump,
69,BACKED,(none cited),n/a,yes,products/catalyst/bootstrap/api/internal/handler/applications.go + catalyst-api image pin on hw292,Same single residual as row 67 and same gate; #5835 still OPEN and its merged fix post-dates the deployed sha=fad88bd; data plane green per region was measured with per-region controls,
70,LAYER-MISMATCH,docs/sessions/2026-08-06/hw292-screenshots/row70-guacamole-both-regions.png,yes,no,live:pods guacamole-server/guacd/guacamole-pg both regions,"clause names pod health in both regions; the attached PNG is the console bp-guacamole Topology tab whose Status field literally reads 'n/a - bootstrap component (HelmRelease, no Application CR)' and shows placement only - it proves nothing about pod health; the health claim is narrated kubectl with no re-openable artifact",
71,BACKED,docs/sessions/2026-08-06/hw292-uat-rewalk-14rows/hw292-rows55-62-71-shared-pg-topology.png,yes,yes,products/catalyst/bootstrap/ui/src/pages/sovereign/AppDetail/TopologyTab.tsx replication-lag panel + catalyst-api image pin,Lag clause fails at the rendered layer and the cited gate holds: #5508 still OPEN and fix fc6be93fa is not an ancestor of the deployed fad88bd; the row already refuted its own older #5478 rationale with a non-vacuous 8-CR control,62
72,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row72-bss-voucher-form.png,yes,yes,products/catalyst/bootstrap/ui/src/pages/sovereign/bss/VouchersPage.tsx,Filename names row+surface and I opened it: all four named fields (Code / Credit OMR / Plan tier / Description) render; caveat: the cell's second paragraph argues a DIFFERENT row's clause (lands /dashboard signed-in as the owner),
73,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row73-voucher-weak-code-rejected.png,yes,yes,products/catalyst/bootstrap/ui/src/pages/sovereign/bss/voucherCodePolicy.ts,Filename names row and the exact rejection case; cell quotes the inline message verbatim and records the negative control (table stayed at zero rows; nothing minted),
74,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row74-voucher-autogenerated.png,yes,yes,products/catalyst/bootstrap/ui/src/pages/sovereign/bss/VouchersPage.tsx,Filename names row+surface; concrete values (server-minted VCH- prefixed code never typed by the walker; plan M; 50 OMR; status Active) plus an end-to-end corroboration on the customer redeem page,
75,RE-GREENABLE,(none cited),n/a,partial,console.hw292.omani.works BSS voucher mint then core/marketplace/src/pages/redeem.astro,"Verdict is partial only because clause (a) was 'not exercisable' behind the PIN wall — that stated blocker is refuted on this same env: rows 235/84 record console PIN issue+verify+whoami 3/3 with the code read live from the mailbox on 2026-08-08 AND 2026-08-09; #5799 is stale bookkeeping and #5800 is moot, so a walker can mint a voucher and finish the row today",
76,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row76-redeem-junk-code.png,yes,yes,core/marketplace/src/pages/redeem.astro,Filename names row and the junk-code case; all three sub-clauses checked separately with the generic message quoted verbatim and the no-echo / no-status-detail leak checks enumerated,
77,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row77-redeem-page-brand.png,yes,yes,core/marketplace/src/pages/redeem.astro,Screenshot backs only the brand half and the cell says so explicitly; the host-literal half is backed by a curl of 27760 bytes with five token counts all zero plus a post-hydration DOM re-check,
78,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row78-signup-lands-plans.png,yes,yes,core/marketplace/src/pages/plans.astro,Opened it: the plan-picker grid with the six-step funnel breadcrumb; caveat: byte-identical (same md5) to row 79's artifact so one capture is doing duty for two rows,79
79,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row79-plans-grid-m-selected.png,yes,yes,core/marketplace/src/pages/plans.astro,Opened it: all five tiers with price/vCPU/RAM/disk and M marked Selected; the advances-to-/apps half is not visually shown and the file is byte-identical to row 78's,78
80,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row80-wordpress-selected.png,yes,yes,core/marketplace/src/pages/apps.astro,Filename names row+surface; catalog counts quoted (16 available / 1 selected) and the walk self-reported a defect (#5920 retired Sandbox card) rather than a clean pass; its 08-09 appendix is byte-identical to row 81's,
81,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row81-addons-step.png,yes,yes,core/marketplace/src/pages/addons.astro,Primary 08-03 stamp is on-clause with five priced add-ons enumerated and a row-named screenshot; caveat: its 08-09 appendix describes /apps not /addons — a verbatim copy of row 80's paragraph,
